omim_id	gard_id	gard_number	mondo_link
OMIM:254210	GARD:0009689	9689	https://monarchinitiative.org/disease/MONDO:0009689
OMIM:255120	GARD:0001120	1120	https://monarchinitiative.org/disease/MONDO:0009705
OMIM:256040	GARD:0010811	10811	https://monarchinitiative.org/disease/MONDO:0009726
OMIM:256040	GARD:0003916	3916	https://monarchinitiative.org/disease/MONDO:0009726
OMIM:256040	GARD:0003917	3917	https://monarchinitiative.org/disease/MONDO:0009726
OMIM:257800	GARD:0000105	105	https://monarchinitiative.org/disease/MONDO:0009767
OMIM:258870	GARD:0006556	6556	https://monarchinitiative.org/disease/MONDO:0009796
OMIM:262400	GARD:0007399	7399	https://monarchinitiative.org/disease/MONDO:0009876
OMIM:265000	GARD:0007111	7111	https://monarchinitiative.org/disease/MONDO:0009926
OMIM:265380	GARD:0008644	8644	https://monarchinitiative.org/disease/MONDO:0009934
OMIM:266265	GARD:0004634	4634	https://monarchinitiative.org/disease/MONDO:0009953
OMIM:266920	GARD:0008600	8600	https://monarchinitiative.org/disease/MONDO:0009964
OMIM:267010	GARD:0004665	4665	https://monarchinitiative.org/disease/MONDO:0009966
OMIM:269920	GARD:0000175	175	https://monarchinitiative.org/disease/MONDO:0010027
OMIM:271150	GARD:0000564	564	https://monarchinitiative.org/disease/MONDO:0010056
OMIM:277000	GARD:0007100	7100	https://monarchinitiative.org/disease/MONDO:0010173
OMIM:277170	GARD:0004412	4412	https://monarchinitiative.org/disease/MONDO:0010176
OMIM:300055	GARD:0003506	3506	https://monarchinitiative.org/disease/MONDO:0010235
OMIM:300076	GARD:0000274	274	https://monarchinitiative.org/disease/MONDO:0010243
OMIM:300085	GARD:0001462	1462	https://monarchinitiative.org/disease/MONDO:0010245
OMIM:300422	GARD:0009925	9925	https://monarchinitiative.org/disease/MONDO:0010318
OMIM:301590	GARD:0005066	5066	https://monarchinitiative.org/disease/MONDO:0010527
OMIM:302800	GARD:0001258	1258	https://monarchinitiative.org/disease/MONDO:0010549
OMIM:302801	GARD:0001243	1243	https://monarchinitiative.org/disease/MONDO:0010550
OMIM:302802	GARD:0001244	1244	https://monarchinitiative.org/disease/MONDO:0010551
OMIM:304400	GARD:0001694	1694	https://monarchinitiative.org/disease/MONDO:0010576
OMIM:308230	GARD:0000073	73	https://monarchinitiative.org/disease/MONDO:0010626
OMIM:309620	GARD:0003520	3520	https://monarchinitiative.org/disease/MONDO:0010668
OMIM:310490	GARD:0001240	1240	https://monarchinitiative.org/disease/MONDO:0010689
OMIM:311070	GARD:0000114	114	https://monarchinitiative.org/disease/MONDO:0010699
OMIM:311200	GARD:0004121	4121	https://monarchinitiative.org/disease/MONDO:0010702
OMIM:311250	GARD:0008391	8391	https://monarchinitiative.org/disease/MONDO:0010703
OMIM:311300	GARD:0005121	5121	https://monarchinitiative.org/disease/MONDO:0010704
OMIM:313350	GARD:0004968	4968	https://monarchinitiative.org/disease/MONDO:0010736
OMIM:600496	GARD:0010658	10658	https://monarchinitiative.org/disease/MONDO:0010894
OMIM:600776	GARD:0000719	719	https://monarchinitiative.org/disease/MONDO:0010930
OMIM:600975	GARD:0002490	2490	https://monarchinitiative.org/disease/MONDO:0010968
OMIM:601287	GARD:0008573	8573	https://monarchinitiative.org/disease/MONDO:0011028
OMIM:601812	GARD:0004498	4498	https://monarchinitiative.org/disease/MONDO:0011150
OMIM:601853	GARD:0000229	229	https://monarchinitiative.org/disease/MONDO:0011157
OMIM:602082	GARD:0009275	9275	https://monarchinitiative.org/disease/MONDO:0011185
OMIM:602248	GARD:0006249	6249	https://monarchinitiative.org/disease/MONDO:0011208
OMIM:602612	GARD:0000216	216	https://monarchinitiative.org/disease/MONDO:0011262
OMIM:604356	GARD:0009966	9966	https://monarchinitiative.org/disease/MONDO:0011444
OMIM:605229	GARD:0009589	9589	https://monarchinitiative.org/disease/MONDO:0011522
OMIM:605233	GARD:0009797	9797	https://monarchinitiative.org/disease/MONDO:0011524
OMIM:605479	GARD:0010029	10029	https://monarchinitiative.org/disease/MONDO:0011559
OMIM:606175	GARD:0008602	8602	https://monarchinitiative.org/disease/MONDO:0011642
OMIM:606777	GARD:0009265	9265	https://monarchinitiative.org/disease/MONDO:0011724
OMIM:606843	GARD:0010579	10579	https://monarchinitiative.org/disease/MONDO:0011735
OMIM:608013	GARD:0010675	10675	https://monarchinitiative.org/disease/MONDO:0011945
OMIM:608363	GARD:0010557	10557	https://monarchinitiative.org/disease/MONDO:0012020
OMIM:608594	GARD:0000084	84	https://monarchinitiative.org/disease/MONDO:0012071
OMIM:609583	GARD:0010169	10169	https://monarchinitiative.org/disease/MONDO:0012308
OMIM:609913	GARD:0010395	10395	https://monarchinitiative.org/disease/MONDO:0012363
OMIM:609924	GARD:0009741	9741	https://monarchinitiative.org/disease/MONDO:0012368
OMIM:609942	GARD:0009885	9885	https://monarchinitiative.org/disease/MONDO:0012371
OMIM:610003	GARD:0004010	4010	https://monarchinitiative.org/disease/MONDO:0012391
